,TimeStep,PreyAbundance,PredatorAbundance
759,759,0,1.14E-08
760,760,0,1.08E-08
761,761,0,1.03E-08
762,762,0,9.78E-09
763,763,0,9.29E-09
764,764,0,8.83E-09
765,765,0,8.39E-09
766,766,0,7.97E-09
767,767,0,7.57E-09
768,768,0,7.19E-09
769,769,0,6.83E-09
770,770,0,6.49E-09
771,771,0,6.16E-09
772,772,0,5.86E-09
773,773,0,5.56E-09
774,774,0,5.29E-09
775,775,0,5.02E-09
776,776,0,4.77E-09
777,777,0,4.53E-09
778,778,0,4.30E-09
779,779,0,4.09E-09
780,780,0,3.89E-09
781,781,0,3.69E-09
782,782,0,3.51E-09
783,783,0,3.33E-09
784,784,0,3.16E-09
785,785,0,3.01E-09
786,786,0,2.86E-09
787,787,0,2.71E-09
788,788,0,2.58E-09
789,789,0,2.45E-09
790,790,0,2.33E-09
791,791,0,2.21E-09
792,792,0,2.10E-09
793,793,0,1.99E-09
794,794,0,1.89E-09
795,795,0,1.80E-09
796,796,0,1.71E-09
797,797,0,1.62E-09
798,798,0,1.54E-09
799,799,0,1.47E-09
800,800,0,1.39E-09
801,801,0,1.32E-09
802,802,0,1.26E-09
803,803,0,1.19E-09
804,804,0,1.13E-09
805,805,0,1.08E-09
806,806,0,1.02E-09
807,807,0,9.73E-10
808,808,0,9.24E-10
809,809,0,8.78E-10
810,810,0,8.34E-10
811,811,0,7.92E-10
812,812,0,7.53E-10
813,813,0,7.15E-10
814,814,0,6.79E-10
815,815,0,6.45E-10
816,816,0,6.13E-10
817,817,0,5.82E-10
818,818,0,5.53E-10
819,819,0,5.26E-10
820,820,0,4.99E-10
821,821,0,4.74E-10
822,822,0,4.51E-10
823,823,0,4.28E-10
824,824,0,4.07E-10
825,825,0,3.86E-10
826,826,0,3.67E-10
827,827,0,3.49E-10
828,828,0,3.31E-10
829,829,0,3.15E-10
830,830,0,2.99E-10
831,831,0,2.84E-10
832,832,0,2.70E-10
833,833,0,2.56E-10
834,834,0,2.43E-10
835,835,0,2.31E-10
836,836,0,2.20E-10
837,837,0,2.09E-10
838,838,0,1.98E-10
839,839,0,1.88E-10
840,840,0,1.79E-10
841,841,0,1.70E-10
842,842,0,1.62E-10
843,843,0,1.53E-10
844,844,0,1.46E-10
845,845,0,1.38E-10
846,846,0,1.32E-10
847,847,0,1.25E-10
848,848,0,1.19E-10
849,849,0,1.13E-10
850,850,0,1.07E-10
851,851,0,1.02E-10
852,852,0,9.67E-11
853,853,0,9.19E-11
854,854,0,8.73E-11
855,855,0,8.29E-11
856,856,0,7.88E-11
857,857,0,7.48E-11
858,858,0,7.11E-11
859,859,0,6.75E-11
860,860,0,6.42E-11
861,861,0,6.10E-11
862,862,0,5.79E-11
863,863,0,5.50E-11
864,864,0,5.23E-11
865,865,0,4.96E-11
866,866,0,4.72E-11
867,867,0,4.48E-11
868,868,0,4.26E-11
869,869,0,4.04E-11
870,870,0,3.84E-11
871,871,0,3.65E-11
872,872,0,3.47E-11
873,873,0,3.29E-11
874,874,0,3.13E-11
875,875,0,2.97E-11
876,876,0,2.82E-11
877,877,0,2.68E-11
878,878,0,2.55E-11
879,879,0,2.42E-11
880,880,0,2.30E-11
881,881,0,2.19E-11
882,882,0,2.08E-11
883,883,0,1.97E-11
884,884,0,1.87E-11
885,885,0,1.78E-11
886,886,0,1.69E-11
887,887,0,1.61E-11
888,888,0,1.53E-11
889,889,0,1.45E-11
890,890,0,1.38E-11
891,891,0,1.31E-11
892,892,0,1.24E-11
893,893,0,1.18E-11
894,894,0,1.12E-11
895,895,0,1.07E-11
896,896,0,1.01E-11
897,897,0,9.62E-12
898,898,0,9.14E-12
899,899,0,8.68E-12
900,900,0,8.25E-12
901,901,0,7.83E-12
902,902,0,7.44E-12
903,903,0,7.07E-12
904,904,0,6.72E-12
905,905,0,6.38E-12
906,906,0,6.06E-12
907,907,0,5.76E-12
908,908,0,5.47E-12
909,909,0,5.20E-12
910,910,0,4.94E-12
911,911,0,4.69E-12
912,912,0,4.46E-12
913,913,0,4.23E-12
914,914,0,4.02E-12
915,915,0,3.82E-12
916,916,0,3.63E-12
917,917,0,3.45E-12
918,918,0,3.28E-12
919,919,0,3.11E-12
920,920,0,2.96E-12
921,921,0,2.81E-12
922,922,0,2.67E-12
923,923,0,2.53E-12
924,924,0,2.41E-12
925,925,0,2.29E-12
926,926,0,2.17E-12
927,927,0,2.06E-12
928,928,0,1.96E-12
929,929,0,1.86E-12
930,930,0,1.77E-12
931,931,0,1.68E-12
932,932,0,1.60E-12
933,933,0,1.52E-12
934,934,0,1.44E-12
935,935,0,1.37E-12
936,936,0,1.30E-12
937,937,0,1.24E-12
938,938,0,1.17E-12
939,939,0,1.12E-12
940,940,0,1.06E-12
941,941,0,1.01E-12
942,942,0,9.56E-13
943,943,0,9.09E-13
944,944,0,8.63E-13
945,945,0,8.20E-13
946,946,0,7.79E-13
947,947,0,7.40E-13
948,948,0,7.03E-13
949,949,0,6.68E-13
950,950,0,6.34E-13
951,951,0,6.03E-13
952,952,0,5.73E-13
953,953,0,5.44E-13
954,954,0,5.17E-13
955,955,0,4.91E-13
956,956,0,4.66E-13
957,957,0,4.43E-13
958,958,0,4.21E-13
959,959,0,4.00E-13
960,960,0,3.80E-13
961,961,0,3.61E-13
962,962,0,3.43E-13
963,963,0,3.26E-13
964,964,0,3.09E-13
965,965,0,2.94E-13
966,966,0,2.79E-13
967,967,0,2.65E-13
968,968,0,2.52E-13
969,969,0,2.39E-13
970,970,0,2.27E-13
971,971,0,2.16E-13
972,972,0,2.05E-13
973,973,0,1.95E-13
974,974,0,1.85E-13
975,975,0,1.76E-13
976,976,0,1.67E-13
977,977,0,1.59E-13
978,978,0,1.51E-13
979,979,0,1.43E-13
980,980,0,1.36E-13
981,981,0,1.29E-13
982,982,0,1.23E-13
983,983,0,1.17E-13
984,984,0,1.11E-13
985,985,0,1.05E-13
986,986,0,1.00E-13
987,987,0,9.51E-14
988,988,0,9.03E-14
989,989,0,8.58E-14
990,990,0,8.15E-14
991,991,0,7.75E-14
992,992,0,7.36E-14
993,993,0,6.99E-14
994,994,0,6.64E-14
995,995,0,6.31E-14
996,996,0,5.99E-14
997,997,0,5.69E-14
998,998,0,5.41E-14
999,999,0,5.14E-14
1000,1000,0,4.88E-14
